doc_id,variant,image_path,status,run_folder,regimen_json_path,raw_output_path,error_message
chf_en_001,clean,ml_pipeline/ex_images/chf_en_001/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T172611_516810Z,ml_pipeline/out/extractions/clean_1p_20260425T172611_516810Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T172611_516810Z/raw_model_response.txt,
chf_en_001,angled_phone,ml_pipeline/ex_images/chf_en_001/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T172624_775940Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T172624_775940Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T172624_775940Z/raw_model_response.txt,
chf_en_001,noisy_shadow,ml_pipeline/ex_images/chf_en_001/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T172651_021579Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T172651_021579Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T172651_021579Z/raw_model_response.txt,
chf_en_002,clean,ml_pipeline/ex_images/chf_en_002/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T172716_735907Z,ml_pipeline/out/extractions/clean_1p_20260425T172716_735907Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T172716_735907Z/raw_model_response.txt,
chf_en_002,angled_phone,ml_pipeline/ex_images/chf_en_002/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T172807_874935Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T172807_874935Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T172807_874935Z/raw_model_response.txt,
chf_en_002,noisy_shadow,ml_pipeline/ex_images/chf_en_002/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T172835_224880Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T172835_224880Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T172835_224880Z/raw_model_response.txt,
chf_en_003,clean,ml_pipeline/ex_images/chf_en_003/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T172927_950689Z,ml_pipeline/out/extractions/clean_1p_20260425T172927_950689Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T172927_950689Z/raw_model_response.txt,
chf_en_003,angled_phone,ml_pipeline/ex_images/chf_en_003/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T172957_238625Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T172957_238625Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T172957_238625Z/raw_model_response.txt,
chf_en_003,noisy_shadow,ml_pipeline/ex_images/chf_en_003/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173027_257318Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173027_257318Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173027_257318Z/raw_model_response.txt,
chf_en_004,clean,ml_pipeline/ex_images/chf_en_004/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T173058_129495Z,ml_pipeline/out/extractions/clean_1p_20260425T173058_129495Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T173058_129495Z/raw_model_response.txt,
chf_en_004,angled_phone,ml_pipeline/ex_images/chf_en_004/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T173136_407231Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T173136_407231Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T173136_407231Z/raw_model_response.txt,
chf_en_004,noisy_shadow,ml_pipeline/ex_images/chf_en_004/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173157_360154Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173157_360154Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173157_360154Z/raw_model_response.txt,
chf_en_005,clean,ml_pipeline/ex_images/chf_en_005/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T173218_392339Z,ml_pipeline/out/extractions/clean_1p_20260425T173218_392339Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T173218_392339Z/raw_model_response.txt,
chf_en_005,angled_phone,ml_pipeline/ex_images/chf_en_005/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T173258_192427Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T173258_192427Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T173258_192427Z/raw_model_response.txt,
chf_en_005,noisy_shadow,ml_pipeline/ex_images/chf_en_005/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173318_237358Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173318_237358Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173318_237358Z/raw_model_response.txt,
chf_en_006,clean,ml_pipeline/ex_images/chf_en_006/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T173359_681765Z,ml_pipeline/out/extractions/clean_1p_20260425T173359_681765Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T173359_681765Z/raw_model_response.txt,
chf_en_006,angled_phone,ml_pipeline/ex_images/chf_en_006/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T173443_755058Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T173443_755058Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T173443_755058Z/raw_model_response.txt,
chf_en_006,noisy_shadow,ml_pipeline/ex_images/chf_en_006/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173528_973432Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173528_973432Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173528_973432Z/raw_model_response.txt,
chf_en_007,clean,ml_pipeline/ex_images/chf_en_007/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T173614_122212Z,ml_pipeline/out/extractions/clean_1p_20260425T173614_122212Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T173614_122212Z/raw_model_response.txt,
chf_en_007,angled_phone,ml_pipeline/ex_images/chf_en_007/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T173704_638754Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T173704_638754Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T173704_638754Z/raw_model_response.txt,
chf_en_007,noisy_shadow,ml_pipeline/ex_images/chf_en_007/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173755_523287Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173755_523287Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173755_523287Z/raw_model_response.txt,
chf_en_008,clean,ml_pipeline/ex_images/chf_en_008/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T173845_725836Z,ml_pipeline/out/extractions/clean_1p_20260425T173845_725836Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T173845_725836Z/raw_model_response.txt,
chf_en_008,angled_phone,ml_pipeline/ex_images/chf_en_008/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T173901_966935Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T173901_966935Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T173901_966935Z/raw_model_response.txt,
chf_en_008,noisy_shadow,ml_pipeline/ex_images/chf_en_008/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173918_383420Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173918_383420Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T173918_383420Z/raw_model_response.txt,
chf_es_009,clean,ml_pipeline/ex_images/chf_es_009/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T173936_487790Z,ml_pipeline/out/extractions/clean_1p_20260425T173936_487790Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T173936_487790Z/raw_model_response.txt,
chf_es_009,angled_phone,ml_pipeline/ex_images/chf_es_009/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T174004_959132Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T174004_959132Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T174004_959132Z/raw_model_response.txt,
chf_es_009,noisy_shadow,ml_pipeline/ex_images/chf_es_009/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T174033_659011Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T174033_659011Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T174033_659011Z/raw_model_response.txt,
chf_es_010,clean,ml_pipeline/ex_images/chf_es_010/clean.jpeg,success,ml_pipeline/out/extractions/clean_1p_20260425T174102_634483Z,ml_pipeline/out/extractions/clean_1p_20260425T174102_634483Z/regimen.json,ml_pipeline/out/extractions/clean_1p_20260425T174102_634483Z/raw_model_response.txt,
chf_es_010,angled_phone,ml_pipeline/ex_images/chf_es_010/angled_phone.jpeg,success,ml_pipeline/out/extractions/angled_phone_1p_20260425T174121_118504Z,ml_pipeline/out/extractions/angled_phone_1p_20260425T174121_118504Z/regimen.json,ml_pipeline/out/extractions/angled_phone_1p_20260425T174121_118504Z/raw_model_response.txt,
chf_es_010,noisy_shadow,ml_pipeline/ex_images/chf_es_010/noisy_shadow.jpeg,success,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T174139_740866Z,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T174139_740866Z/regimen.json,ml_pipeline/out/extractions/noisy_shadow_1p_20260425T174139_740866Z/raw_model_response.txt,
